"CD_MUN","year","deforestation","freq","terra","trabalhoescravo","embargoes","perc_area","consolidated","consolidated_sa"
1100015,"2021",0.0262336566849431,0,0.0465116279069767,0,0,0,0.01818632114798,0.01818632114798
1100015,"2022",0.0376634331505694,0.0833333333333333,0.0697674418604651,0,0.00284900284900285,0.312534162138843,0.0387226422386741,0.0387226422386741
1100023,"2021",0.0195557430057641,0,0,0,0,0,0.00488893575144102,0.00488893575144102
1100023,"2022",0.0226064951497259,0,0.0232558139534884,0,0.00854700854700855,0.129401931267715,0.0108818635300446,0.0108818635300446
1100031,"2021",0.00386616055110361,0,0,0,0,0,0.000966540137775903,0.000966540137775903
1100031,"2022",0.00215099114297765,0,0,0,0.00284900284900285,0.0604477450336555,0.000999998798396099,0.000999998798396099
1100049,"2021",0.00809784900885702,0,0.0697674418604651,0,0,0,0.0194663227173305,0.0194663227173305
1100049,"2022",0.00479403908336848,0,0.0465116279069767,0,0.00284900284900285,0.25877688754299,0.0108309339678696,0.0108309339678696
1100056,"2021",0.0019963447209335,0,0,0,0,0,0.000499086180233375,0.000499086180233375
1100056,"2022",0.00188387459581049,0,0,0,0,0.40324942575237,0.000376774919162098,0.000376774919162098
1100064,"2021",0.00251651904962744,0,0,0,0,0,0.000629129762406861,0.000629129762406861
1100064,"2022",0.00132152397019542,0,0,0,0.00284900284900285,0,0.000834105363839653,0.000834105363839653
1100072,"2021",0.00715591171095178,0,0,0,0,0,0.00178897792773794,0.00178897792773794
1100072,"2022",0.0041192183326304,0,0.0232558139534884,0,0,0.222007992800979,0.00547500645722375,0.00547500645722375
1100080,"2021",0.0443835231266695,0,0.0232558139534884,0,0,0,0.0169098342700395,0.0169098342700395
1100080,"2022",0.0668775481512723,0,0.0465116279069767,0,0.0227920227920228,0.384481113587572,0.0272362397700544,0.0272362397700544
1100098,"2021",0.00957401940109658,0,0.0232558139534884,0,0,0,0.00820745833864624,0.00820745833864624
1100098,"2022",0.0097427245887811,0,0.0697674418604651,0,0.0056980056980057,0.342552496031583,0.0170416344294504,0.0170416344294504
1100106,"2021",0.0344720933502039,0,0.0465116279069767,0,0,0,0.0202459303142951,0.0202459303142951
1100106,"2022",0.0181920427386475,0,0.0930232558139535,0,0,0.920181395676488,0.0222430597105202,0.0222430597105202
1100114,"2021",0.00489245044285112,0,0,0,0,0,0.00122311261071278,0.00122311261071278
1100114,"2022",0.0124420075917334,0,0,0,0.0056980056980057,0.143509298238138,0.00362800265794783,0.00362800265794783
1100122,"2021",0.00388021931674399,0,0,0,0,0,0.000970054829185997,0.000970054829185997
1100122,"2022",0.0077463798678476,0,0,0,0.0056980056980057,0.587681901997901,0.00268887711317066,0.00268887711317066
1100130,"2021",0.0824546604808098,0,0.13953488372093,0,0,0,0.055497386050435,0.055497386050435
1100130,"2022",0.0935610853367074,0,0.186046511627907,0,0.00854700854700855,0.727047577719657,0.0576309211023246,0.0576309211023246
1100148,"2021",0.00361310276957683,0,0,0,0,0,0.000903275692394208,0.000903275692394208
1100148,"2022",0.00427386475467454,0,0.0930232558139535,0,0,0.041448564742478,0.0194594241137256,0.0194594241137256
1100155,"2021",0.00518768452129903,0,0,0,0,0,0.00129692113032476,0.00129692113032476
1100155,"2022",0.0010262898917475,0,0,0,0,0.0101993046486913,0.000205257978349501,0.000205257978349501
1100189,"2021",0.030001405876564,0,0.0232558139534884,0,0,0,0.0133143049575131,0.0133143049575131
1100189,"2022",0.0286377056094475,0,0,0,0,0.044379066811866,0.0057275411218895,0.0057275411218895
1100205,"2021",0.754041895121608,0,0.558139534883721,0,0,0,0.328045357501332,0.328045357501332
1100205,"2022",0.671179530437228,0.0833333333333333,0.302325581395349,0.0461847389558233,0.592592592592593,0.41228846679209,0.339123155342865,0.339123155342865
1100254,"2021",0.000506115563053564,0,0,0,0,0,0.000126528890763391,0.000126528890763391
1100254,"2022",0.00182763953324898,0,0,0,0,0.0727621831054575,0.000365527906649796,0.000365527906649796
1100262,"2021",0.0107549557148882,0,0,0,0,0,0.00268873892872206,0.00268873892872206
1100262,"2022",0.00951778433853508,0,0.0465116279069767,0,0,0.0155350343896996,0.0112058824491024,0.0112058824491024
1100288,"2021",0.00171516940812597,0,0,0,0,0,0.000428792352031492,0.000428792352031492
1100288,"2022",0.0027836355967946,0,0,0,0.0056980056980057,0.000586081802036673,0.00169632825896006,0.00169632825896006
1100296,"2021",0.00111064248558977,0,0,0,0,0,0.000277660621397441,0.000277660621397441
1100296,"2022",0.000618585688176578,0,0,0,0,0.0000870175157779497,0.000123717137635316,0.000123717137635316
1100304,"2021",0.0194854491775622,0,0.0697674418604651,0,0,0,0.0223132227595068,0.0223132227595068
1100304,"2022",0.0322226908477436,0,0.116279069767442,0.00200803212851406,0.0113960113960114,0.594448676389778,0.0323811608279422,0.0323811608279422
1100320,"2021",0.0161675804864333,0,0,0,0,0,0.00404189512160832,0.00404189512160832
1100320,"2022",0.0131027695768312,0,0,0,0.00284900284900285,0.699700116507961,0.0031903544851668,0.0031903544851668
1100338,"2021",0.159862224096724,0,0.0465116279069767,0,0,0,0.0515934630009253,0.0515934630009253
1100338,"2022",0.202896105721918,0,0.0697674418604651,0,0.0056980056980057,0.701188969584908,0.0556723106560777,0.0556723106560777
1100346,"2021",0.00286798819063686,0,0,0,0,0,0.000716997047659215,0.000716997047659215
1100346,"2022",0.00210881484605652,0,0,0,0.0683760683760684,0.409405095004696,0.014096976644425,0.014096976644425
1100379,"2021",0.0150991142977647,0,0,0,0,0,0.00377477857444116,0.00377477857444116
1100379,"2022",0.0113173063405033,0,0.0232558139534884,0,0.00284900284900285,0.451921249820253,0.0074844246285989,0.0074844246285989
1100403,"2021",0.0385631941515535,0,0,0,0,0,0.00964079853788837,0.00964079853788837
1100403,"2022",0.0277520033741038,0,0,0,0.00284900284900285,0.071431388189617,0.00612020124462132,0.00612020124462132
1100452,"2021",0.0419372979052439,0,0.0232558139534884,0,0,0,0.0162982779646831,0.0162982779646831
1100452,"2022",0.0366230844931815,0,0.0465116279069767,0,0.00854700854700855,0.677090444556992,0.0183363441894334,0.0183363441894334
1100502,"2021",0.00205257978349501,0,0,0,0,0,0.000513144945873752,0.000513144945873752
1100502,"2022",0.00177140447068747,0,0,0,0,0.0822183574900995,0.000354280894137495,0.000354280894137495
1100601,"2021",0.0173906930971461,0,0,0,0,0,0.00434767327428652,0.00434767327428652
1100601,"2022",0.0168142837058906,0,0,0,0,0.0159297777908517,0.00336285674117812,0.00336285674117812
1100700,"2021",0.0332489807394911,0,0.0232558139534884,0,0,0,0.0141261986732449,0.0141261986732449
1100700,"2022",0.00967243076057922,0,0.0465116279069767,0,0,0.512985669938502,0.0112368117335112,0.0112368117335112
1100809,"2021",0.276142274708281,0,0.0232558139534884,0,0,0,0.0748495221654422,0.0748495221654422
1100809,"2022",0.273738225783776,0,0.0232558139534884,0,0.282051282051282,0.476880262312002,0.115809064357709,0.115809064357709
1100908,"2021",0.000520174328693941,0,0,0,0,0,0.000130043582173485,0.000130043582173485
1100908,"2022",0.000463939266132434,0,0,0,0.0056980056980057,0.00220639868234809,0.00123238899282763,0.00123238899282763
1100924,"2021",0.0130887108111908,0,0.186046511627907,0,0,0,0.0497838056097744,0.0497838056097744
1100924,"2022",0.00569380008435259,0,0.0930232558139535,0,0.00284900284900285,0.257771854700241,0.0203132117494618,0.0203132117494618
1100940,"2021",0.147139041192183,0,0.0930232558139535,0,0,0,0.0600405742515342,0.0600405742515342
1100940,"2022",0.140784479122733,0,0.0465116279069767,0,0.0484330484330484,0.302431999471742,0.0471458310925516,0.0471458310925516
1101005,"2021",0.037874314635175,0,0.116279069767442,0,0,0,0.0385383461006542,0.0385383461006542
1101005,"2022",0.0556867707015324,0,0.116279069767442,0,0,0.725734491127316,0.0343931680937948,0.0343931680937948
1101104,"2021",0.0218473218051455,0,0,0,0,0,0.00546183045128638,0.00546183045128638
1101104,"2022",0.0189371573175875,0,0,0,0,0.6370985666032,0.0037874314635175,0.0037874314635175
1101203,"2021",0.00202446225221426,0,0,0,0,0,0.000506115563053564,0.000506115563053564
1101203,"2022",0.000506115563053564,0,0,0,0,0,0.000101223112610713,0.000101223112610713
1101302,"2021",0.00749332208632082,0,0,0,0,0,0.00187333052158021,0.00187333052158021
1101302,"2022",0.00298045831575988,0,0,0,0,0.39452457699552,0.000596091663151975,0.000596091663151975
1101401,"2021",0.020708561788275,0,0,0,0,0,0.00517714044706875,0.00517714044706875
1101401,"2022",0.0145086461408688,0,0,0,0.0199430199430199,0.239440295794066,0.00689033321677776,0.00689033321677776
1101435,"2021",0.00479403908336848,0,0,0,0,0,0.00119850977084212,0.00119850977084212
1101435,"2022",0.00596091663151975,0,0,0,0.0056980056980057,0.27980553413271,0.00233178446590509,0.00233178446590509
1101450,"2021",0.00305075214396176,0,0,0,0,0,0.00076268803599044,0.00076268803599044
1101450,"2022",0.00570785884999297,0,0,0,0,0.104253992621008,0.00114157176999859,0.00114157176999859
1101468,"2021",0.00941937297905244,0,0.0465116279069767,0,0,0,0.0139827502215073,0.0139827502215073
1101468,"2022",0.00705750035146914,0.166666666666667,0.0232558139534884,0,0,0.403636279663657,0.0393959961943248,0.0393959961943248
1101476,"2021",0.0017573457050471,0,0,0,0,0,0.000439336426261774,0.000439336426261774
1101476,"2022",0,0,0,0,0,0.0958032110048136,0,0
1101484,"2021",0.000281175312807536,0,0,0,0,0,0.0000702938282018839,0.0000702938282018839
1101484,"2022",0.000196822718965275,0,0,0,0,0.315445350591298,0.000039364543793055,0.000039364543793055
1101492,"2021",0.042499648530859,0,0,0,0,0,0.0106249121327147,0.0106249121327147
1101492,"2022",0.02835653029664,0,0.0232558139534884,0,0.0170940170940171,0.692413490216283,0.0137412722688291,0.0137412722688291
1101500,"2021",0.0387037818079573,0,0.0930232558139535,0,0,0,0.0329317594054777,0.0329317594054777
1101500,"2022",0.0219457331646281,0,0.13953488372093,0,0.0113960113960114,0.661369665429126,0.034575325656314,0.034575325656314
1101559,"2021",0.000492056797413187,0,0,0,0,0,0.000123014199353297,0.000123014199353297
1101559,"2022",0.000140587656403768,0,0,0,0,0.0080549789838859,0.0000281175312807536,0.0000281175312807536
1101609,"2021",0.00622803317868691,0,0.0232558139534884,0,0,0,0.00737096178304382,0.00737096178304382
1101609,"2022",0.0090819626036834,0,0.0465116279069767,0,0,0.11184873813222,0.011118718102132,0.011118718102132
1101708,"2021",0.00151834668916069,0,0,0,0,0,0.000379586672290173,0.000379586672290173
1101708,"2022",0.00039364543793055,0,0,0,0,0.670601912014586,0.0000787290875861099,0.0000787290875861099
1101757,"2021",0.0123857725291719,0,0,0,0,0,0.00309644313229298,0.00309644313229298
1101757,"2022",0.00819626036833966,0,0,0,0,0.726307764084785,0.00163925207366793,0.00163925207366793
1101807,"2021",0.00177140447068747,0,0,0,0,0,0.000442851117671868,0.000442851117671868
1101807,"2022",0.000492056797413187,0,0,0,0,0.0571631131214155,0.0000984113594826374,0.0000984113594826374
1200013,"2021",0.0298608182201603,0,0.372093023255814,0,0,0,0.100488460368994,0.100488460368994
1200013,"2022",0.0290594685786588,0,0.302325581395349,0,0.0113960113960114,0.705192624252908,0.0685562122740038,0.0685562122740038
1200054,"2021",0.0177843385350766,0,0,0,0,0,0.00444608463376915,0.00444608463376915
