Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Categoria Causou Acao,Categoria Sofreu Acao,Situacao Conflito Agua,Tipo Conflito Agua,Tipo De Violencia
2014,Centro-Oeste,MS,Corumbá (MS),Com. Antônio Maria Coelho,Mineradora,Extrativista,Diminuição do acesso à Água,Uso e preservação,
2014,Centro-Oeste,MT,Chapada dos Guimarães (MT),Usina de Manso/Furnas/Faz. do Mamão,Hidrelétrica,Pequeno proprietário,Não cumprimento de procedimentos legais,Barragens e Açudes,
2014,Centro-Oeste,MT,Cláudia (MT),UHE de Sinop/Assent. 12 de Outubro/PAC,Hidrelétrica,Assentado,Ameaça de expropriação,Barragens e Açudes,
2014,Centro-Oeste,MT,Paranaíta (MT),PCHs no Rio Teles Pires/PAC/UHE São Manoel,Hidrelétrica,Indígenas,Ameaça de expropriação,Barragens e Açudes,
2014,Centro-Oeste,MT,Sinop (MT),UHE Sinop/Colônia de Pescadores Z-16/PAC,Hidrelétrica,Pescador,Ameaça de expropriação,Barragens e Açudes,
2014,Centro-Oeste,MT,Tabaporã (MT),Gl. Mercedes V/P.A. Wesley Manoel Santos,Hidrelétrica,Assentado,Ameaça de expropriação,Barragens e Açudes,
2014,Nordeste,AL,Porto de Pedras (AL),Colônia de Pescadores Z-25/Praia do Patacho/Praia Tatuamunha/Vazamento de Óleo,Empresário,Pescador,Impedimento de acesso à água,Apropriação Particular,Impedimento de ir e vir
2014,Nordeste,BA,Andorinha (BA),Açude Andorinha II/Mineradora Ferbasa,Mineradora,Pescador,Diminuição do acesso à Água,Uso e preservação,
2014,Nordeste,BA,Caetité (BA),Com. Araticum/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Caetité (BA),Com. Casa da Roda/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Caetité (BA),Com. Flores/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Caetité (BA),Com. João Barroca/Bamin/BML,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Caetité (BA),Com. Olho d' Água dos Pires/Projeto Pedra de Ferro/Bamin    ,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Caetité (BA),Com. Rancho do Meio/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Campo Formoso (BA),Com. de Brejo Grande/Mineradora Ferbasa,Mineradora,Pequeno proprietário,Destruição e ou poluição,Uso e preservação,
2014,Nordeste,BA,Campo Formoso (BA),Com. Limoeiro/Mineradora Ferbasa,Mineradora,Pequeno proprietário,Destruição e ou poluição,Uso e preservação,
2014,Nordeste,BA,Campo Formoso (BA),Com. Santo Antônio,Mineradora,Pequeno proprietário,Destruição e ou poluição,Uso e preservação,
2014,Nordeste,BA,Pindaí (BA),Com. Baixa Preta/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Pindaí (BA),Com. Barra dos Crioulos/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Pindaí (BA),Com. Barriguda/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Pindaí (BA),Com. Cachoeira de Baixo/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
2014,Nordeste,BA,Pindaí (BA),Com. Cachoeira de Cima/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Impedimento de acesso à água,Apropriação Particular,
