Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Area,Tipo Violencia Contra Familias,Numero De Familias,Tipo De Violencia,Numero De Conflitos
2014,Centro-Oeste,DF,Brasília (DF),Acampamento José Wilker,,Violência Terra,10,,1
2014,Centro-Oeste,DF,Planaltina (GO),Faz. Chácara 39/Núcleo Rural Pipiripau,,Violência Terra,200,,1
2014,Centro-Oeste,DF,Planaltina (GO),Fazenda Toca da Raposa,1200,Violência Terra,600,,1
2014,Centro-Oeste,DF,Planaltina (GO),Fazenda Três Pinheiros,,Violência Terra,300,Agressão,3
2014,Centro-Oeste,DF,Planaltina (GO),Faz. Sta. Isabel/Emp. Rural Whittmann Agropecuária Ltda,,Violência Terra,638,,3
2014,Centro-Oeste,DF,Planaltina (GO),Laranjal próx. ao Sítio Felicidade,,Violência Terra,100,,1
2014,Centro-Oeste,DF,Planaltina (GO),Sítio Felicidade,10,Violência Terra,10,,2
2014,Centro-Oeste,GO,Catalão (GO),Com. Mata Preta/Coqueiros/Macaúba/Chapadão/Mosaic/Cmoc/Vale,,Violência Terra,20,Danos,1
2014,Centro-Oeste,GO,Catalão (GO),Comunidade Macaúba/Vale,,Violência Terra,20,Danos,1
2014,Centro-Oeste,GO,Corumbá de Goiás (GO),Agropecuária Santa Mônica,20000,Violência Terra,3500,Impedimento de ir e vir,3
2014,Centro-Oeste,GO,Itauçu (GO),Faz. Córrego Rico/Faz. do Estado ,730,Violência Terra,120,,1
2014,Centro-Oeste,GO,Nova Roma (GO),Quilombo Família Magalhães,5492.1421,Violência Terra,35,Danos,1
2014,Centro-Oeste,GO,Paraúna (GO),Faz. Descanso/Assent. Estreito da Ponte Pedra,660,Violência Terra,112,,1
2014,Centro-Oeste,GO,Santa Helena de Goiás (GO),Faz. Ouro Branco/Us. Santa Helena,3000,Violência Terra,50,,2
2014,Centro-Oeste,MS,Amambai (MS),Acamp. Tekoha Guaiviry/MS-386,,Violência Terra,60,Ameaça de Morte,2
2014,Centro-Oeste,MS,Amambai (MS),Fazenda Barra Bonita,,Violência Terra,30,,1
2014,Centro-Oeste,MS,Aquidauana (MS),Faz. Maria do Carmo/T. I. Taunay Ipegue,,Violência Terra,200,Ferimento,2
2014,Centro-Oeste,MS,Caarapó (MS),Com. Tey'i Juçu/Tey'i Jusu,,Violência Terra,50,Assassinato,4
2014,Centro-Oeste,MS,Caarapó (MS),T. I. Pindo Roky/Itaguá/Retomada das Mães/Faz. Novilho/Nhandeva/T. I. Dourados Amambai Peguá,,Violência Terra,50,,1
2014,Centro-Oeste,MS,Campo Grande (MS),Acamp. às margens da BR-163/Próximo ao Viaduto Joel Dib,,Violência Terra,47,,2
2014,Centro-Oeste,MS,Coronel Sapucaia (MS),Terra Indígena Kurussu Ambá/Iguatemipeguá II,2181,Violência Terra,50,"Contaminação por agrotóxico, Ameaça de Morte, Tentativa de Assassinato",10
2014,Centro-Oeste,MS,Corumbá (MS),Com. Porto Esperança,,Violência Terra,80,,1
2014,Centro-Oeste,MS,Douradina (MS),Retomada Guyra Kambi’y/Guyra Cambiy,2037,Violência Terra,20,"Ameaça de Morte, Assassinato",2
2014,Centro-Oeste,MS,Dourados (MS),Acamp. Nhu Vera/Nu Vera,,Violência Terra,28,Assassinato,2
2014,Centro-Oeste,MS,Dourados (MS),Área na BR-463,,Violência Terra,0,,1
2014,Centro-Oeste,MS,Dourados (MS),Com. Apyka'y/Acamp. na BR-463/Curral de Arame,,Violência Terra,30,"Morte em conseqüência, Ameaça de Morte",3
2014,Centro-Oeste,MS,Dourados (MS),Passo Piraju,900,Violência Terra,8,Intimidação,3
2014,Centro-Oeste,MS,Dourados (MS),Reserva Indígena Dourados,3000,Violência Terra,0,Intimidação,1
2014,Centro-Oeste,MS,Iguatemi (MS),Arrombamento da Sede da Funai,,Violência Terra,0,Intimidação,1
2014,Centro-Oeste,MS,Jateí (MS),Nova Esperança,,Violência Terra,0,Contaminação por agrotóxico,1
2014,Centro-Oeste,MS,Juti (MS),T. I. Taquara/Takuara,9752,Violência Terra,64,Ameaça de Morte,1
2014,Centro-Oeste,MS,Laguna Carapã (MS),T. I. Rancho Jacaré,778,Violência Terra,100,,1
2014,Centro-Oeste,MS,Miranda (MS),Faz. Santo Antônio/T. I. Pillad Rebuá,,Violência Terra,50,,1
2014,Centro-Oeste,MS,Miranda (MS),T. I. Pilad Rebuá,208,Violência Terra,100,Tentativa de Assassinato,2
2014,Centro-Oeste,MS,Naviraí (MS),Macro Território Dourados-Amambai Pegua II/T. I. Santiago Kue/Kurupi,1800,Violência Terra,13,,2
