Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Data,Numero De Pessoas,Tipo De Violencia,Categoria Causou Acao,Categoria Sofreu Acao,Categoria Vitima Violencia,Eixos De Violencia,Genero,Idade,Identidade De Genero,Orientacao Sexual,Raca Cor,Municipios Vitima,Lugar
2014,Centro-Oeste,DF,Brasília (DF),Manifestações 2014,02/12/2014,3,Ferimento,,,Sem Terra,Não definido,S - Sem Informação,SI,,,,Brasília (DF),Praça dos Três Poderes
2014,Centro-Oeste,DF,Brasília (DF),Manifestações 2014,02/12/2014,1,Prisão,,,Sem Terra,Não definido,M - Masculino,SI,,,,Brasília (DF),Praça dos Três Poderes
2014,Centro-Oeste,MS,Amambai (MS),Acamp. Tekoha Guaiviry/MS-386,06/02/2014,1,"Ameaça de Morte, Seqüestro, Tortura",Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,A,,,Indígena,Amambai (MS),"Região de Amambaí , Região de Amambaí , Região de Amambaí "
2014,Centro-Oeste,MS,Douradina (MS),Retomada Guyra Kambi’y/Guyra Cambiy,06/07/2014,1,Assassinato,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,61,,,Indígena,Dourados (MS),Perto de uma aldeia de Dourados
2014,Centro-Oeste,MS,Dourados (MS),Com. Apyka'y/Acamp. na BR-463/Curral de Arame,01/23/2014,1,Ameaça de Morte,Fazendeiro,Indígenas,Indígenas,Terra,F -  Feminino,73,,,Indígena,Dourados (MS),Com. Apyka'i/Acamp. na BR-463
2014,Centro-Oeste,MS,Dourados (MS),Com. Apyka'y/Acamp. na BR-463/Curral de Arame,02/08/2014,1,Morte em conseqüência,Fazendeiro,Indígenas,Indígenas,Terra,F -  Feminino,17,,,Indígena,Dourados (MS),"Km 05, BR-463, perto da Aldeia Apyka'y"
2014,Centro-Oeste,MS,Dourados (MS),Com. Apyka'y/Acamp. na BR-463/Curral de Arame,03/14/2014,1,Morte em conseqüência,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,41,,,Indígena,Dourados (MS),"Km 03 da BR-463, perto da Terra Indígena Apyka'y"
2014,Centro-Oeste,MS,Miranda (MS),T. I. Pilad Rebuá,05/19/2014,1,"Tentativa de Assassinato, Ameaça de Morte",Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,31,,,Indígena,Miranda (MS),"Aldeia Moreira, Aldeia Moreira"
2014,Centro-Oeste,MS,Nova Andradina (MS),Faz. Furnas e Córrego Fundo ,01/20/2014,1,Ameaça de Morte,Fazendeiro,Sem Terra,Sem Terra,Terra,F -  Feminino,31,,,,Nova Andradina (MS),Acampamento diante da fazenda Furnas 
2014,Centro-Oeste,MS,Tacuru (MS),T. I. Iguatemipeguá/Com. Indígena Pyelito Kue,04/06/2014,1,Ferimento,Fazendeiro,Indígenas,Indígenas,Terra,F -  Feminino,A,,,Indígena,Iguatemi (MS),Faz. Cambará/Território Pyelito Kue
2014,Centro-Oeste,MT,Campos de Júlio (MT),Assentamento Juruena,01/17/2014,1,Assassinato,Presidente de cooperativa,Assentado,Assentado,Terra,M - Masculino,57,,,,Campos de Júlio (MT),"Associação 6, Linha Alto Juruena"
2014,Centro-Oeste,MT,Campos de Júlio (MT),Assentamento Juruena,01/17/2014,1,Tentativa de Assassinato,Presidente de cooperativa,Assentado,Assentado,Terra,M - Masculino,27,,,,Campos de Júlio (MT),"Associação 6, Linha Alto Juruena"
2014,Centro-Oeste,MT,Campos de Júlio (MT),Assentamento Juruena,01/17/2014,1,Assassinato,Presidente de cooperativa,Assentado,Assentado,Terra,F -  Feminino,27,,,,Campos de Júlio (MT),"Associação 6, Linha Alto Juruena"
2014,Centro-Oeste,MT,Nossa Senhora do Livramento (MT),Comunidade São Gonçalo/Com. São Manoel do Pari,03/06/2014,1,Ameaça de Morte,Fazendeiro,Posseiro,Posseiro,Terra,M - Masculino,,,,,Nossa Senhora do Livramento (MT),Comunidade São Gonçalo
2014,Nordeste,BA,Cocos (BA),T. I.  Xakriabá ,06/03/2014,1,Ameaça de Morte,Fazendeiro,Indígenas,Religioso,Terra,M - Masculino,A,,,,Cocos (BA),Caminho da Aldeia de Porcos até a cidade de Cocos
2014,Nordeste,BA,Cocos (BA),T. I.  Xakriabá ,06/03/2014,1,Ameaça de Morte,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,A,,,Indígena,Cocos (BA),Caminho da Aldeia de Porcos até a cidade de Cocos 
2014,Nordeste,BA,Ilhéus (BA),Vila Santana/T. I. Tupinambá Olivença ,04/26/2014,1,Assassinato,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,57,,,Indígena,Ilhéus (BA),Vila Santana
2014,Nordeste,BA,Itapebi (BA),Aldeia Encanto da Patioba,03/07/2014,1,Agressão,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,63,,,Indígena,Itapebi (BA),Aldeia Encanto da Patioba 
2014,Nordeste,BA,Itapebi (BA),Aldeia Encanto da Patioba,03/07/2014,1,Agressão,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,A,,,Indígena,Itapebi (BA),Aldeia Encanto da Patioba 
2014,Nordeste,BA,Itapebi (BA),Aldeia Encanto da Patioba,03/07/2014,1,Agressão,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,A,,,Indígena,Itapebi (BA),Aleida Encanto da Patioba 
2014,Nordeste,BA,Itapebi (BA),Aldeia Encanto da Patioba,03/07/2014,1,Agressão,Fazendeiro,Indígenas,Indígenas,Terra,F -  Feminino,45,,,Indígena,Itapebi (BA),Aldeia Encanto da Patioba 
2014,Nordeste,BA,Monte Santo (BA),P. A. Nossa Senhora do Rosário ,02/06/2014,1,Assassinato,Fazendeiro,Assentado,Assentado,Terra,M - Masculino,49,,,,Monte Santo (BA),P. A. Nossa Senhora do Rosário
2014,Nordeste,BA,Porto Seguro (BA),T. I. Barra Velha/Aldeia Boca da Mata e Outras,05/03/2014,1,Tentativa de Assassinato,Fazendeiro,Indígenas,Funcionário Público,Terra,M - Masculino,A,,,,Porto Seguro (BA),"BR-101, a caminho de Itamaraju "
2014,Nordeste,BA,Porto Seguro (BA),T. I. Barra Velha/Aldeia Boca da Mata e Outras,05/03/2014,2,Tentativa de Assassinato,Fazendeiro,Indígenas,Indígenas,Terra,F -  Feminino,A,,,Indígena,Porto Seguro (BA),"BR - 101, em direção a Itamaraju"
2014,Nordeste,BA,Simões Filho (BA),Com. Quilombola Rio dos Macacos,01/06/2014,1,"Prisão, Agressão, Humilhação, Ameaça de Morte",Ministério da Marinha,Quilombola,Quilombola,Terra,F -  Feminino,35,,,Preta,Simões Filho (BA),"Entrada da Vila Naval, Entrada da Vila Naval, Entrada da Vila Naval, Entrada da Vila Naval"
