"municipio","Ano","Uf.Sigla","Municipio.Primario","CD_MUN"
"AL_Arapiraca","2021","AL","Arapiraca",2700300
"AL_Maceió","2021","AL","Maceió",2704302
"AL_Palmeira dos Índios","2022","AL","Palmeira dos Índios",2706307
"AL_Pão de Açúcar","2022","AL","Pão de Açúcar",2706406
"AL_Piaçabuçu","2021","AL","Piaçabuçu",2706802
"AL_Piranhas","2021","AL","Piranhas",2707107
"AL_Porto Real do Colégio","2021","AL","Porto Real do Colégio",2707503
"AM_Atalaia do Norte","2022","AM","Atalaia do Norte",1300201
"AM_Autazes","2022","AM","Autazes",1300300
"AM_Humaitá","2022","AM","Humaitá",1301704
"AM_Humaitá","2022","AM","Humaitá",1301704
"AM_Itacoatiara","2021","AM","Itacoatiara",1301902
"AM_Manicoré","2022","AM","Manicoré",1302702
"AM_Nova Olinda do Norte","2021","AM","Nova Olinda do Norte",1303106
"AM_Parintins","2021","AM","Parintins",1303403
"AM_Presidente Figueiredo","2022","AM","Presidente Figueiredo",1303536
"AM_Santa Isabel do Rio Negro","2022","AM","Santa Isabel do Rio Negro",1303601
"AM_Santa Isabel do Rio Negro","2021","AM","Santa Isabel do Rio Negro",1303601
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AM_Tapauá","2022","AM","Tapauá",1304104
"AP_Macapá","2022","AP","Macapá",1600303
"AP_Pedra Branca do Amapari","2022","AP","Pedra Branca do Amapari",1600154
"AP_Pracuúba","2022","AP","Pracuúba",1600550
"BA_Boninal","2021","BA","Boninal",2904001
"BA_Caetité","2022","BA","Caetité",2905206
"BA_Caetité","2022","BA","Caetité",2905206
"BA_Cairu","2022","BA","Cairu",2905404
"BA_Casa Nova","2022","BA","Casa Nova",2907202
"BA_Correntina","2021","BA","Correntina",2909307
"BA_Correntina","2022","BA","Correntina",2909307
"BA_Érico Cardoso","2021","BA","Érico Cardoso",2900504
"BA_Jaborandi","2021","BA","Jaborandi",2917359
"BA_Jacobina","2021","BA","Jacobina",2917508
"BA_Nordestina","2022","BA","Nordestina",2922656
"BA_Piatã","2022","BA","Piatã",2924306
"BA_Piatã","2022","BA","Piatã",2924306
"BA_Salvador","2021","BA","Salvador",2927408
"BA_Santa Maria da Vitória","2021","BA","Santa Maria da Vitória",2928109
"BA_Santa Maria da Vitória","2021","BA","Santa Maria da Vitória",2928109
"BA_Santa Maria da Vitória","2021","BA","Santa Maria da Vitória",2928109
"BA_Santa Maria da Vitória","2021","BA","Santa Maria da Vitória",2928109
"BA_São Desidério","2022","BA","São Desidério",2928901
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Sento Sé","2021","BA","Sento Sé",2930204
"BA_Xique-Xique","2022","BA","Xique-Xique",2933604
"ES_Aracruz","2022","ES","Aracruz",3200607
"ES_Baixo Guandu","2021","ES","Baixo Guandu",3200805
"ES_Baixo Guandu","2021","ES","Baixo Guandu",3200805
"ES_Colatina","2022","ES","Colatina",3201506
"ES_Conceição da Barra","2021","ES","Conceição da Barra",3201605
"ES_Conceição da Barra","2021","ES","Conceição da Barra",3201605
"ES_Linhares","2022","ES","Linhares",3203205
"ES_Linhares","2022","ES","Linhares",3203205
"ES_Linhares","2022","ES","Linhares",3203205
"ES_Nova Venécia","2021","ES","Nova Venécia",3203908
"ES_Nova Venécia","2021","ES","Nova Venécia",3203908
"GO_Caiapônia","2021","GO","Caiapônia",5204409
"GO_Vianópolis","2021","GO","Vianópolis",5222005
"MA_Cândido Mendes","2021","MA","Cândido Mendes",2102606
"MA_Cândido Mendes","2021","MA","Cândido Mendes",2102606
"MA_Cândido Mendes","2022","MA","Cândido Mendes",2102606
"MA_Cândido Mendes","2021","MA","Cândido Mendes",2102606
"MA_Cândido Mendes","2022","MA","Cândido Mendes",2102606
"MA_Godofredo Viana","2021","MA","Godofredo Viana",2104305
"MA_Godofredo Viana","2021","MA","Godofredo Viana",2104305
"MA_Godofredo Viana","2022","MA","Godofredo Viana",2104305
"MA_Godofredo Viana","2021","MA","Godofredo Viana",2104305
"MA_Godofredo Viana","2021","MA","Godofredo Viana",2104305
"MA_Godofredo Viana","2022","MA","Godofredo Viana",2104305
"MA_Godofredo Viana","2022","MA","Godofredo Viana",2104305
"MA_Godofredo Viana","2021","MA","Godofredo Viana",2104305
"MA_Godofredo Viana","2022","MA","Godofredo Viana",2104305
"MA_Godofredo Viana","2022","MA","Godofredo Viana",2104305
"MA_Milagres do Maranhão","2021","MA","Milagres do Maranhão",2106672
"MA_Mirador","2022","MA","Mirador",2106706
"MA_Mirador","2022","MA","Mirador",2106706
"MA_Pirapemas","2021","MA","Pirapemas",2108801
"MA_Raposa","2022","MA","Raposa",2109452
"MG_Barão de Cocais","2021","MG","Barão de Cocais",3105400
"MG_Barão de Cocais","2021","MG","Barão de Cocais",3105400
"MG_Barra Longa","2021","MG","Barra Longa",3105707
"MG_Barra Longa","2021","MG","Barra Longa",3105707
"MG_Betim","2022","MG","Betim",3106705
"MG_Betim","2022","MG","Betim",3106705
