"municipio","Ano","Uf.Sigla","Municipio.Primario","Numero.De.Conflitos","CD_MUN"
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",3,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2021,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Acrelândia",2022,"AC","Acrelândia",1,1200013
"AC_Assis Brasil",2022,"AC","Assis Brasil",1,1200054
"AC_Brasiléia",2022,"AC","Brasiléia",1,1200104
"AC_Brasiléia",2021,"AC","Brasiléia",5,1200104
"AC_Bujari",2021,"AC","Bujari",1,1200138
"AC_Bujari",2022,"AC","Bujari",1,1200138
"AC_Bujari",2021,"AC","Bujari",1,1200138
"AC_Bujari",2022,"AC","Bujari",1,1200138
"AC_Bujari",2021,"AC","Bujari",1,1200138
"AC_Bujari",2021,"AC","Bujari",1,1200138
"AC_Bujari",2021,"AC","Bujari",1,1200138
"AC_Bujari",2022,"AC","Bujari",2,1200138
"AC_Capixaba",2022,"AC","Capixaba",1,1200179
"AC_Capixaba",2021,"AC","Capixaba",1,1200179
"AC_Capixaba",2022,"AC","Capixaba",1,1200179
