Estado,Município(s),Nome do Conflito,Data,Famílias
Alagoas,Delmiro Gouveia,Quilombo do Povoado Cruz,21/11/2022,72
Alagoas,Palmeira dos Índios,Quilombo Tabacaria,04/06/2022,89
Alagoas,Pão de Açúcar,Comunidades da Região de Cima,04/04/2022,1
Amapa,Macapá,Santa Luzia/São Tomé/Rio Pacuí/10Comunidades Próximas ao Rio Pacuí,18/12/2022,200
Amapa,Macapá,Comunidade Quilombola Ilha Redonda,08/06/2022,1
Amapa,Mazagão,Comunidade Ribeirinha do Rio Cunumuri,01/12/2022,44
Amapa,Mazagão,Assentamento Pancada do Camaipi,01/12/2022,6
Amapa,Pedra Branca do Amapari,ICgoarma. pRéi bdeoi rAinrehiaa /dRoi oI gAarmaappé aXriivete/,08/03/2022,200
Amapa,Pracuúba,"Território de Uso Tradicional no Entorno
do Lago Pracuúba",23/01/2022,30
Amapa,Tartarugalzinho,Uapezal/Ponto do Socorro e Vareiro,18/12/2022,70
Amazonas,Atalaia do Norte,T. I. Vale do Javari,05/06/2022,1579
Amazonas,Autazes,T. I. Soares/Urucurituba,15/09/2022,1
Amazonas,Autazes,Aldeia Taquara,10/01/2022,1
Amazonas,Eirunepé,T.I. Kanamari do Rio Juruá,01/11/2022,201
Amazonas,Humaitá,T. I. Tenharim Marmelos,02/06/2022,134
Amazonas,Humaitá,Terra Indígena Diahui,02/06/2022,29
Amazonas,Itamarati,T. I. Deni,01/11/2022,367
Amazonas,Japurá,T. I. Médio Rio Negro I,17/09/2022,497
Amazonas,Lábrea,T. I. Caititu,01/10/2022,255
Amazonas,Manicoré,RRiebbeiior idnoh aRsio Manicoré/15 Comunidades,30/06/2022,1000
Amazonas,Manicoré,Comunidade Fortaleza do Bom Intento,28/09/2022,1
Amazonas,Presidente Figueiredo,RCeagcihãooe idraa /VSiluas sduea rBaanlbaina/Igarapé da,21/01/2022,500
Amazonas,Santa Isabel do Rio Negro,T. I. Médio Rio Negro II/Com. Arurá,25/03/2022,162
Amazonas,Tapauá,"Floresta Estadual de Tapauá/Marizal/Duas
Bocas/Santo Antônio/Socozal/Pinheiro/Mangueirão/Sol Nascente/Maloca/Dois
Unidos/Central",04/02/2022,1
Amazonas,Tapauá,Comunidade do Igarapé Ila dos Bons,21/06/2022,1
Amazonas,Tapauá,Comunidade do Igarapé Rabelo,21/06/2022,
Amazonas,Tapauá,Comunidade do Igarapé Camaraã/RioPurus,21/06/2022,1
Amazonas,Tapauá,Comunidade do Igarapé Pacoval,21/06/2022,
Amazonas,Tapauá,Comunidade do Igarapé Coati/Rio Purus,21/06/2022,1
Amazonas,Tapauá,Comunidade Boca do Mapixi/IgarapéBoca do Mapixi,21/06/2022,1
Amazonas,Tapauá,Comunidade do Igarapé Tacacá,21/06/2022,
Amazonas,Tapauá,Comunidade do Igarapé Nova Olinda,21/06/2022,
Amazonas,Tapauá,Comunidade do Igarapé Macuri,21/06/2022,1
Amazonas,Tapauá,Comunidade do Igarapé Arimã Grande/Rio Purus,21/06/2022,1
Amazonas,Tapauá,Comunidade da Boa Fé/Igarapé CuraCurá,21/06/2022,1
Bahia,Andorinha,Açude Andorinha II/Mineradora,19/11/2022,52
Bahia,Antônio Gonçalves,Com. Lagoa Grande,01/12/2022,75
Bahia,Antônio Gonçalves,Com. Brejão da Grota,01/12/2022,160
Bahia,Antônio Gonçalves,Mucambo,01/12/2022,58
Bahia,Caetité,"Com. Araticum/Projeto Pedra de
Ferro/Bamin",24/02/2022,18
Bahia,Caetité,Com. João Barroca/Bamin/BML,24/02/2022,160
Bahia,Cairu,Moreré/Ilha de Boipeba,27/04/2022,1
Bahia,Camaçari,Jauá/Vazamento de Óleo/Praia deJacuípe,12/11/2022,1
Bahia,Campo Formoso,Comunidade Borda da Mata,01/12/2022,30
Bahia,Casa Nova,Lagoa da Catinga/Caatinga,31/01/2022,30
Bahia,Correntina,Mendes/Brejinho/Baraúna/São,15/10/2022,30
Bahia,Correntina,Com. do Rio Arrojado/Faz. Igarashi,28/10/2022,3000
Bahia,Correntina,Fecho de Pasto Capão do Modesto,05/04/2022,80
Bahia,Licínio de Almeida,Taquaril Velho,25/10/2022,58
Bahia,Licínio de Almeida,Com. Taquaril dos Fialhos,13/10/2022,32
Bahia,Mata de São João,Itacimirim/Vazamento de Óleo,30/08/2022,1
Bahia,Nordestina,Com. Quilombola Grotas,29/03/2022,25
Bahia,Piatã,Com. Quilombola do Mocó e Bocaína,08/06/2022,150
Bahia,Piatã,Com. Quilombola do Mocó e Bocaína,26/04/2022,150
Bahia,Salvador,Colônia de Pescadores Z-67,14/12/2022,2
Bahia,São Desidério,PGCraHnsd deo/ PRAiCo das Fêmeas e do Rio,05/04/2022,250
Bahia,São Desidério,PGCraHnsd deo/ PRAiCo das Fêmeas e do Rio,20/07/2022,250
Bahia,Xique-Xique,,11/03/2022,760
Espirito Santo,Aracruz,"Pescadores de Barra do Raicho/
Mineradora Samarco-Vale-BHP",08/06/2022,12
Espirito Santo,Aracruz,"Barra do Riacho/Estaleiro Jurong de
Aracruz",04/09/2022,147
Espirito Santo,Colatina,Comunidade Maria das Graças,14/01/2022,20
Espirito Santo,Guarapari,Comunidade Iguape,18/11/2022,30
Espirito Santo,Linhares,Faz. Entre Rios/Emp. União Ferragense Montagens,15/02/2022,25
