Estado,Município(s),Nome do Conflito,Data,Trabalhadores,Resgatados,Menores,Tipo de trabalho
Alagoas,Flexeiras,Pedreira Faz. Manacá,08/07/2021,5,5,0,Extração de britamento
Alagoas,Joaquim Gomes,Faz. Rosário de Maria,08/07/2021,1,1,0,Atividade de apoio
Amazonas,Novo Aripuanã,Fazenda na Margem do rio Guariba,09/05/2021,12,12,0,flAotirveisdtaadle de manejo
Bahia,Riachão das Neves,Fazenda Ribanceira,30/12/2021,1,1,,Criação de bovinos
Bahia,Xique-Xique,Fazenda Saco dos Bois,22/09/2021,44,43,,Edxat rpaaçlãmoe idrae  fcoalrhnaasú eb apó
Bahia,Xique-Xique,Fazenda Pescada,30/12/2021,10,10,,CNoalteutraa idse Produtos
Ceara,Granja,Sítio Nazaré,27/09/2021,9,9,,Ecxatrrnaaçúãboa da palha de
Ceara,Russas,Empresa Cerâmica Jardim,13/10/2021,1,1,,Pdreo dceurçâãom idcea artefatos
Distrito Federal,Brasília,Horticultura Exceto,22/03/2021,6,6,,Horticultura
Distrito Federal,Brasília,Rancho Paixão,25/12/2021,10,10,,Hortaliças
Espirito Santo,Itapemirim,Brito Transporte e MecanizaçãoAgrícola,14/06/2021,4,4,,Atividades de Apoio/Corte de cana de
Espirito Santo,Linhares,Fazenda Rio Quartel,04/11/2021,5,5,,Colheita de café
Espirito Santo,Vila Valério,Fazenda Vargem Alegre,07/05/2021,70,70,,Colheita de Café
Goias,Água Fria de Goiás,Faz. Araçá/Souza Paiol VasconcelosIndústria e Comécio Cigarro de PalhaLtda,21/10/2021,116,116,5,Extração de palha demilho para prod. decigarro
Goias,Águas Lindas de Goiás,Chácara em Águas Lindas,09/05/2021,1,1,0,Caseiro
Goias,Alto Paraíso de Goiás,Carvoaria na Faz. Posse/NascenteAgroindustrial Ltda,02/04/2021,6,6,0,Extração de eucalipto -Carvoaria
Goias,Aporé,Lavoura de Soja em Aporé,09/05/2021,5,5,2,Cduel tiRvaoíz dese Soja/Catação
Goias,Caldas Novas,Faz. Tamboril,22/01/2021,24,24,1,Cultivo de Laranja
Goias,Cristalina,Fazenda Ipê,19/01/2021,26,,,Desbrota de café
Goias,Cristalina,Faz. Santa Luzia,31/01/2021,7,7,0,Cultivo de Eucalipto
Goias,Cristalina,Fazendas Furnas e Buracão,16/12/2021,10,10,0,Carvoaria
Goias,Formosa,Faz. Muzungo,19/08/2021,2,1,0,Serviços Gerais - Cerca
Goias,Goiânia,Chácara Matinha/Horta de Pimenta,26/05/2021,1,1,0,Cultivo de Pimenta
Goias,Jataí,Faz. de Geraldo Bifon,06/08/2021,54,54,1,Extração de palha demilho - prod. de cigarrode palha
Goias,Luziânia,Faz. Brito/Carvoaria,16/12/2021,2,2,1,Carvoaria
Goias,Nova Crixás,Faz. Nossa Senhora Aparecida,29/10/2021,5,5,0,Pecuária
Goias,Nova Crixás,Fazenda Gramado,29/10/2021,6,6,0,Pgraoddoução de ração para
Goias,Paraúna,Faz. Santa Úrsula II,29/10/2021,21,20,0,Roçagem de Pastos
Goias,Piranhas,Faz. Bom Jesus,22/10/2021,11,11,0,Criação bovina
Goias,Pontalina,Faz. Arca de Noé,29/10/2021,33,33,0,Colheita de Laranja
Maranhao,Açailândia,Fazenda Estrela/Assentamento Terra,20/09/2021,1,1,,Preparo do solo para
Maranhao,Amarante do Maranhão,Fazenda Bom Retiro,20/09/2021,1,1,,Roço de pastos comfoices e aplicação deagrotóxicos.
Maranhao,Barra do Corda,Fazenda Hortaliça,18/06/2021,5,5,1,Lavoura de Hortaliças
Maranhao,Bom Jesus das Selvas,Fazenda Pedreira 002,20/09/2021,16,11,,Cultivo de Milho
