Estado,Município(s),Nome do Conflito,Data,Familias,Categoria
Acre,Acrelândia,Ramal Campo Novo,22/08/2021,21,Posseiro
Alagoas,Arapiraca,Fazenda Sementeira,11/01/2021,90,Sem Terra
Amapa,Macapá,Áreas em Itaubal/Agronegócio SinalVerde/Boa Vista da Pedreira,16/09/2021,20,Posseiro
Amazonas,Autazes,Aldeia São Félix,30/10/2021,,Indígenas
Bahia,Andaraí,Faz. Bela Vista/Ocup. Brigada Mariada Gloria,15/11/2021,45,Sem Terra
Bahia,Conceição do Almeida,Área Abandonada da EBDA,01/05/2021,100,Sem Terra
Bahia,Ibirataia,Quilombo Terra Livre/Assent. EuclidesNeto II,08/08/2021,,Sem Terra
Bahia,Itamaraju,Fazenda do Grupo Chaves,28/09/2021,100,Sem Terra
Bahia,Itamaraju,Faz. Avenida/Acamp. Márcio Matos,28/09/2021,100,Sem Terra
Bahia,Ruy Barbosa,Fazenda Água Branca,23/10/2021,40,Sem Terra
Ceara,Crateús,T. I. Periferia de Crateús,25/09/2021,,Indígenas
Espirito Santo,Conceição da Barra,Cdoo mN.o rQteui/lAormabcroluaz de Angelim I/Sapê,23/10/2021,,Quilombola
Maranhao,Balsas,Com. Bom Acerto/Data Flor do Tempo,14/05/2021,8,Posseiro
Mato Grosso,Cotriguaçu,Fazenda Jump Madeiras,16/11/2021,70,Sem Terra
Mato Grosso do Sul,Naviraí,Tekoha Teko-Ava/Aldeia Borevi-ry,15/10/2021,30,Indígenas
Minas Gerais,Berizal,Com. Quilombola Vila São João/Faz.Bela Vista,21/11/2021,118,Sem Terra
Minas Gerais,Brumadinho,Córrego Areias/Casa Branca,15/11/2021,,Indígenas
Minas Gerais,Divinópolis,Fazenda na Comunidade Costa,13/10/2021,5,Sem Terra
Minas Gerais,Gameleiras,Faz. Santa Cecília,19/11/2021,100,Sem Terra
Minas Gerais,Teófilo Otoni,Aldeia Escola Floresta/Yãy Hã Miy,28/09/2021,100,Indígenas
Para,Breu Branco,Acampamento Fazenda Tigre,17/05/2021,150,Sem Terra
Para,Curionópolis,Faz. Surubim/Acamp. Osmir Venutoda Silva,05/01/2021,35,Sem Terra
Para,Goianésia do Pará,Faz. Iguaíba/Ocupação Iguaíba,23/03/2021,60,Sem Terra
Para,Nova Ipixuna,Fazenda Muriaé,13/01/2021,125,Sem Terra
Para,Portel,dOacsu pÁagçuãaos Águas Boas e Encontro,02/02/2021,100,Sem Terra
Para,Tucuruí,Acamp. Pau Preto/Faz. Araçagi,30/04/2021,50,Sem Terra
Paraiba,Gurinhém,Comunidade Quilombola Matão,04/08/2021,40,Quilombola
Parana,Piraquara,Retomada Kaingang/Guarani Mbya/Nhandewa/Tukano/krahô/FlorestaEstadual Metropolitana,09/08/2021,5,Indígenas
Pernambuco,Cabo de Santo Agostinho,Faz. Brilhante/Us. Liberdade,19/04/2021,10,Sem Terra
Pernambuco,Sertânia,Faz. Santa Luzia/Acamp. Fortaleza,12/10/2021,26,Sem Terra
Rio de Janeiro,Campos dos Goytacazes,ACcaammbpa.h yObzaiel Alves 2 e 3/Mergulhão/,24/06/2021,300,Sem Terra
Rio Grande do Sul,Cachoeirinha,Retomada Mbya Guarani/Mato do Julio,17/09/2021,8,Indígenas
Rio Grande do Sul,Canela,Retomada Mbya Guarani/Área dePreservação Ambiental,29/11/2021,8,Indígenas
Rio Grande do Sul,Porto Alegre,Pindo Poty Lami/Mbya Guarani,30/04/2021,8,Indígenas
Rondonia,Cujubim,Acampamento Boa Esperança,03/09/2021,,Sem Terra
Rondonia,Pimenteiras do Oeste,Fazenda Siriema,04/09/2021,,Sem Terra
Rondonia,Porto Velho,Acamp. Ademar Ferreira/Faz. SantaCarmem,31/01/2021,1,Sem Terra
Rondonia,Porto Velho,Acampamento Tiago Santos,27/10/2021,125,Sem Terra
Sao Paulo,Caiuá,Fazenda Santa Maria,19/06/2021,400,Sem Terra
Sao Paulo,Euclides da Cunha Paulista,FCaazrleonsd aM aSraignthae lRaosa/Acampamento,21/08/2021,500,Sem Terra
Sao Paulo,Euclides da Cunha Paulista,Fazenda Ponte Branca,23/12/2021,100,Sem Terra
Sao Paulo,Marabá Paulista,FAarzn.s Floresta/Assent. Dom Evaristo,19/06/2021,150,Sem Terra
Sao Paulo,Mirante do Paranapanema,Fazenda Santa Rita,16/10/2021,100,Sem Terra
Sao Paulo,Mirante do Paranapanema,Fazenda Santa Cruz,23/10/2021,13,Sem Terra
Sao Paulo,Mongaguá,T. I. Tenondé Porã/Kaliptory/Guyrapaju/Krukutu/Tape Miri/Grexakã/,14/11/2021,,Indígenas
Sao Paulo,Rosana,Acampamento Nelson Mandela,31/07/2021,900,Sem Terra
Sao Paulo,Rosana,Fazenda Santa Mônica,16/10/2021,100,Sem Terra
Sao Paulo,Sandovalina,Faz. São Domingos/Acamp. Pe.Josimo/UHE de Taquaraçu/Acamp.Miriam Farias,12/06/2021,300,Sem Terra
Sao Paulo,Sandovalina,Faz. São Domingos/Acamp. Pe.Josimo/UHE de Taquaraçu/Acamp.Miriam Farias,24/06/2021,500,Sem Terra
Sao Paulo,Sandovalina,Faz. São Domingos/Acamp. Pe.Josimo/UHE de Taquaraçu/Acamp.Miriam Farias,16/10/2021,100,Sem Terra
