Estado,Município(s),Nome do Conflito,Data,Famílias,Categoria
Acre,Capixaba,Seringal Capatará,28/02/2022,35,Posseiro
Alagoas,Arapiraca,Faz. Pau Ferro/Ocupação,28/02/2022,120,Sem Terra
Alagoas,Jequiá da Praia,Faz. Willames/Us. Sinimbu,25/02/2022,96,Sem Terra
Alagoas,São Miguel dos Campos,Faz. Barro Branco/Us. Sinimbu,25/02/2022,142,Sem Terra
Bahia,Água Fria,Fazenda Barreiros/Ocupação MST,30/07/2022,75,Sem Terra
Bahia,Água Fria,Fazenda Reunidas Vitória/OcupaçãoMST,30/07/2022,75,Sem Terra
Bahia,Guaratinga,FCalázeundidaa  SMeantaa Verde/Ocupação,11/04/2022,105,Sem Terra
Bahia,Guaratinga,FCalázeundidaa  SMeantaa Verde/Ocupação,28/05/2022,178,Sem Terra
Bahia,Guaratinga,FCalázeundidaa  SMeantaa Verde/Ocupação,21/07/2022,150,Sem Terra
Bahia,Itabela,Fazenda Frutelli/Ocupação,08/03/2022,100,Sem Terra
Bahia,Itaeté,Fazenda 2 Rios/Ocupação AntônioMaero,25/03/2022,250,Sem Terra
Bahia,Itaeté,Fazenda 2 Rios/Ocupação AntônioMaero,29/07/2022,250,Sem Terra
Bahia,Jussari,Faz. Bota Fogo/Ocupação,08/03/2022,25,Sem Terra
Bahia,Maracás,Fazenda Gentil/Ocupação MST,12/11/2022,50,Sem Terra
Bahia,Piritiba,Faz. Várzea da Pedra/AcampamentoRosimeire Araújo,19/08/2022,50,Sem Terra
Bahia,Planaltino,FFaEzReBnAdSa AR/eOucnuidpaasç ãRoe dEestnrçeãlao /Vive,13/11/2022,200,Sem Terra
Bahia,Porto Seguro,"Fazenda Itaquena/Trevo da estrada
de acesso ao balneário de Trancoso/
Ocupação",15/07/2022,,Sem Terra
Bahia,Prado,Faz. Terra Vista III/Entorno do Parquedo Descobrimento,22/06/2022,15,Indígenas
Bahia,Prado,T. I. Cahy-Pequi/Comexatiba/AldeiaCahy/Mexatibá/Cumuruxatiba,22/06/2022,45,Indígenas
Bahia,Prado,Fazenda Santa Barbara/Retomada T.IComexatibá,23/06/2022,45,Indígenas
Bahia,Prado,Faz. Brasília/T. I. Barra Velha,25/06/2022,25,Indígenas
Bahia,Prado,T. I. Comexatiba/Aldeia Alegria Nova,01/09/2022,,Indígenas
Bahia,Prado,Faz. Nedila/Retomada IndígenasAldeia Nova,22/09/2022,,Indígenas
Bahia,Rafael Jambeiro,Fazenda Rosarinho/Ocupação,17/07/2022,160,Sem Terra
Bahia,Ruy Barbosa,FMaSzeTnda Água Branca/Ocupação do,23/10/2022,40,Sem Terra
Bahia,São Sebastião do Passé,CÁraerlao sd aM Caeripglahcel/lOacupação Brigada,29/05/2022,80,Sem Terra
Ceara,Iguatu,Povo Kariri Quixeló,20/08/2022,13,Indígenas
Ceara,Ipueiras,Fazenda Lagoa dos Veados,18/04/2022,80,Sem Terra
Distrito Federal,Brasília,Área da Terracap em Sobradinho/Acamp. Florestan Fernandes,26/02/2022,100,Sem Terra
Distrito Federal,Brasília,Área no Núcleo Rural Rio Preto/Ocupação Ana Primavesi,30/04/2022,300,Sem Terra
Espirito Santo,Conceição da Barra,Com. Quilombola Córrego Alexandre,06/08/2022,,Quilombola
Goias,Minaçu,AMcianamçpuamento em Fazenda de,23/03/2022,22,Sem Terra
Goias,São João d'Aliança,Fazenda Cerrado,01/01/2022,12,Sem Terra
Maranhao,Santa Inês,Com. Quilombola no Povoado Onça,30/11/2022,60,Quilombola
Mato Grosso do Sul,Amambai,T. I. Amambai,01/05/2022,,Indígenas
Mato Grosso do Sul,Amambai,T. I. Amambai,23/06/2022,7,Indígenas
Mato Grosso do Sul,Amambai,T. I. Amambai,27/06/2022,7,Indígenas
Mato Grosso do Sul,Coronel Sapucaia,TGeukaoraa nJio pKaarião/wÁárea de Retomada,22/05/2022,,Indígenas
Mato Grosso do Sul,Naviraí,"T. I. Santiago Kue/Kurupi/Macro
Território Dourados-Amambai Pegua
II",23/06/2022,30,Indígenas
Mato Grosso do Sul,Rio Brilhante,Com. Laranjeira Nhanderu,26/02/2022,5,Indígenas
Minas Gerais,Brumadinho,Retomada próximo Fazenda Flor daÍndia/ Xukuru Kariri,23/02/2022,20,Indígenas
Minas Gerais,Governador Valadares,Fazenda Eldorado,28/05/2022,150,Sem Terra
Para,Acará,Retomada Quil. Nossa Sra. daBatalha,06/02/2022,15,Quilombola
Para,Breu Branco,Fazenda Lago Azul,11/07/2022,18,Sem Terra
Para,Goianésia do Pará,Fazenda Joana,05/11/2022,12,Posseiro
Para,São Félix do Xingu,Faz. Canaã/Pau Brasil,10/11/2022,50,Trabalhador Rural
Para,Senador José Porfírio,P.A. Ressaca/Mineradora Belo Sun,05/06/2022,90,"Indígenas, Posseiro"
Paraiba,Caaporã,Ocupação da Usina Maravilha,18/04/2022,50,Sem Terra
Pernambuco,Caruaru,Acamp. Padre Tiago 1/Fazenda Fornode Cal,17/05/2022,100,Sem Terra
Pernambuco,Feira Nova,Acamp. Padre Tiago 2/Fazenda,17/05/2022,150,Sem Terra
Pernambuco,Goiana,Acamp. Padre Tiago 3/Eng. Tapiremade Baixo/Us. Santa Teresa,17/05/2022,150,Sem Terra
Pernambuco,Ipojuca,Acamp. Padre Tiago 4/Us. Salgado,17/05/2022,150,Sem Terra
Pernambuco,Timbaúba,Acamp. Padre Tiago 5/Eng. Tambor/Us. Cruangi,17/05/2022,150,Sem Terra
Rio de Janeiro,São João da Barra,FLaazg.o C/aCeatmá bea Cheydbrao/Acamp. Mário,31/01/2022,8,Sem Terra
Rio Grande do Norte,Maxaranguape,Ocupação a Fazenda Improdutiva/Jor.Nac. de Lutas,16/04/2022,170,Sem Terra
Rio Grande do Norte,Maxaranguape,Ocupação/Praia de Caraúbas,24/04/2022,140,Sem Terra
Rio Grande do Norte,Riachuelo,Ocupação em Riachuelo,24/04/2022,120,Sem Terra
Rio Grande do Norte,Rio do Fogo,Ocupação Paraíso dos Carajás,17/04/2022,200,Sem Terra
Rio Grande do Sul,Porto Alegre,T. I. Kaingang/Morro Santana,18/10/2022,10,Indígenas
Rondonia,Chupinguaia,Faz. Dois Pinguins/Caramello/Assoc.Igarapé Água Viva,01/02/2022,20,Posseiro
Rondonia,Machadinho D'Oeste,TD Urupá/Galo Velho/TB 13,30/05/2022,50,Posseiro
Rondonia,Nova Brasilândia D'Oeste,FAaszseenntdaa mCeanptão o Ndoav aO nEsçpaerança/,16/04/2022,3,Sem Terra
Rondonia,Porto Velho,Comunidade Seringal do Belmont,16/09/2022,48,Posseiro
Rondonia,Rio Crespo,Fazenda na Linha C-95,18/02/2022,10,Sem Terra
Sao Paulo,Presidente Bernardes,FCaazremnedma Guarucaia/Fazenda Santa,26/02/2022,,Sem Terra
Sao Paulo,Rosana,Fazenda Santa Rita do Pontal,16/06/2022,200,Sem Terra
Sao Paulo,Santo Anastácio,Fazenda Vitória,26/02/2022,,Sem Terra
Sao Paulo,Teodoro Sampaio,Fazenda Cachoeirinha,26/02/2022,,Sem Terra
Tocantins,Araguaína,Faz. Inhumas-Guarabu/Ocup. Vale doHebron,30/06/2022,100,Sem Terra
