"municipio","Estado","Município.s.","Data","Famílias","Categoria","ano","CD_MUN"
"AC_Acrelândia","AC","Acrelândia","05/06/2021",80,"Extrativista",2021,1200013
"AC_Acrelândia","AC","Acrelândia","08/06/2021",60,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","03/07/2021",72,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","04/07/2021",50,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","13/07/2021",41,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","18/07/2021",72,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","04/08/2021",45,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","05/08/2021",40,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","07/08/2021",28,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","14/08/2021",14,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","15/08/2021",80,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","20/08/2021",30,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","25/08/2021",21,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","02/09/2021",12,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","04/09/2021",38,"Posseiro",2021,1200013
"AC_Acrelândia","AC","Acrelândia","08/12/2022",80,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","04/08/2022",129,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","08/09/2022",12,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","09/09/2022",72,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","14/09/2022",38,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","10/10/2022",28,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","17/10/2022",30,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","08/11/2022",80,"Extrativista",2022,1200013
"AC_Acrelândia","AC","Acrelândia","09/11/2022",40,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","14/11/2022",50,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","14/11/2022",60,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","19/11/2022",41,"Posseiro",2022,1200013
"AC_Acrelândia","AC","Acrelândia","08/12/2022",14,"Posseiro",2022,1200013
"AC_Assis Brasil","AC","Assis Brasil","31/05/2022",60,"Indígenas",2022,1200054
"AC_Brasiléia","AC","Brasiléia","12/05/2021",1800,"Seringueiro",2021,1200104
"AC_Brasiléia","AC","Brasiléia","17/05/2021",1800,"Seringueiro",2021,1200104
"AC_Brasiléia","AC","Brasiléia","22/06/2021",1800,"Seringueiro",2021,1200104
"AC_Brasiléia","AC","Brasiléia","02/10/2021",1800,"Seringueiro",2021,1200104
"AC_Brasiléia","AC","Brasiléia","12/10/2022",1800,"Posseiro",2022,1200104
"AC_Bujari","AC","Bujari","22/02/2021",400,"Posseiro",2021,1200138
"AC_Bujari","AC","Bujari","25/02/2021",510,"Assentado",2021,1200138
"AC_Bujari","AC","Bujari","11/07/2021",108,"Assentado",2021,1200138
"AC_Bujari","AC","Bujari","31/01/2022",53,"Assentado",2022,1200138
"AC_Bujari","AC","Bujari","22/07/2022",53,"Seringueiro",2022,1200138
"AC_Bujari","AC","Bujari","23/11/2022",321,"Posseiro",2022,1200138
"AC_Bujari","AC","Bujari","02/08/2021",300,"Posseiro",2021,1200138
"AC_Bujari","AC","Bujari","08/12/2022",538,"Posseiro",2022,1200138
"AC_Capixaba","AC","Capixaba","09/02/2021",15,"Posseiro",2021,1200179
"AC_Capixaba","AC","Capixaba","18/09/2021",97,"Posseiro",2021,1200179
"AC_Capixaba","AC","Capixaba","11/11/2022",15,"Posseiro",2022,1200179
"AC_Cruzeiro do Sul","AC","Cruzeiro do Sul","09/06/2021",14,"Posseiro",2021,1200203
"AC_Cruzeiro do Sul","AC","Cruzeiro do Sul","02/09/2021",27,"Posseiro",2021,1200203
"AC_Cruzeiro do Sul","AC","Cruzeiro do Sul","26/05/2022",14,"Posseiro",2022,1200203
"AC_Cruzeiro do Sul","AC","Cruzeiro do Sul","16/06/2021",80,"Posseiro",2021,1200203
"AC_Cruzeiro do Sul","AC","Cruzeiro do Sul","16/06/2021",130,"Seringueiro",2021,1200203
