"municipio","Estado","Município.s.","Data","Tdreanbú..nncaia","Resgatados","Menores","ano","CD_MUN"
"AC_Manoel Urbano","AC","Manoel Urbano","27/07/2022",47,27,NA,2022,1200344
"AC_Rio Branco","AC","Rio Branco","31/12/2022",2,NA,NA,2022,1200401
"AL_Flexeiras","AL","Flexeiras","08/07/2021",5,5,0,2021,2702801
"AL_Joaquim Gomes","AL","Joaquim Gomes","08/07/2021",1,1,0,2021,2703809
"AM_Novo Aripuanã","AM","Novo Aripuanã","09/05/2021",12,12,0,2021,1303304
"BA_Barra do Choça","BA","Barra do Choça","20/07/2022",24,24,NA,2022,2902906
"BA_Buritirama","BA","Buritirama","20/06/2022",1,1,NA,2022,2904753
"BA_Camacan","BA","Camacan","20/06/2022",3,1,NA,2022,2905602
"BA_Itabela","BA","Itabela","31/12/2022",6,6,NA,2022,2914653
"BA_João Dourado","BA","João Dourado","31/12/2022",3,3,NA,2022,2918357
"BA_Riachão das Neves","BA","Riachão das Neves","30/12/2021",1,1,NA,2021,2926202
"BA_Santa Luzia","BA","Santa Luzia","08/02/2022",4,4,NA,2022,2928059
"BA_Santa Luzia","BA","Santa Luzia","08/02/2022",11,11,NA,2022,2928059
"BA_Santa Luzia","BA","Santa Luzia","08/02/2022",1,1,NA,2022,2928059
"BA_Simões Filho","BA","Simões Filho","02/08/2022",9,9,NA,2022,2930709
"BA_Xique-Xique","BA","Xique-Xique","22/09/2021",44,43,NA,2021,2933604
"BA_Xique-Xique","BA","Xique-Xique","30/12/2021",10,10,NA,2021,2933604
"CE_Beberibe","CE","Beberibe","08/09/2022",22,22,NA,2022,2302206
"CE_Fortim","CE","Fortim","21/07/2022",1,1,NA,2022,2304459
"CE_Granja","CE","Granja","27/09/2021",9,9,NA,2021,2304707
"CE_Russas","CE","Russas","13/10/2021",1,1,NA,2021,2311801
"DF_Brasília","DF","Brasília","22/03/2021",6,6,NA,2021,5300108
"DF_Brasília","DF","Brasília","25/12/2021",10,10,NA,2021,5300108
"DF_Brasília","DF","Brasília","29/05/2022",3,2,NA,2022,5300108
"DF_Brasília","DF","Brasília","07/12/2022",6,6,0,2022,5300108
