Estado,Município(s),Nome do Conflito,Data,Familias
Alagoas,Arapiraca,Comunidade Bananeira,07/01/2021,
Alagoas,Maceió,Colônia de Pescadores Z4,06/04/2021,
Alagoas,Piaçabuçu,Quilom. Pixaim/Jussara/Sapé,19/03/2021,
Alagoas,Piranhas,UHE de Xingó,04/01/2021,
Alagoas,Porto Real do Colégio,T. I. Kariri-Xocó,30/06/2021,300
Amapa,Ferreira Gomes,UHE Coaracy Nunes,16/09/2021,
Amapa,Ferreira Gomes,UHE Ferreira Gomes,16/09/2021,500
Amapa,Macapá,Santa Luzia/São Tomé/Rio Pacuí/10Comunidades Próximas ao Rio Pacuí,16/09/2021,200
Amapa,Macapá,CCuormia. úQuilombola Casa Grande/APA,08/07/2021,45
Amapa,Mazagão,Rio Vilanova/Curumuru/Amapari,07/12/2021,58
Amapa,Pedra Branca do Amapari,RCioo mA. mIgaapraarpié Xivete/Igarapé do Areia/,27/11/2021,200
Amapa,Porto Grande,UHE Cachoeira Caldeirão,16/09/2021,20
Amazonas,Atalaia do Norte,T. I. Vale do Javari,15/11/2021,
Amazonas,Autazes,Comunidade do Rosarinho,22/11/2021,
Amazonas,Autazes,Aldeia Taquara,30/12/2021,
Amazonas,Itacoatiara,T. I. Waimiri Atroari/Linhão de Tucuruí/PAC,06/05/2021,350
Amazonas,Nova Olinda do Norte,POAutEr aAsbacaxis 1 e 2/Terra Preta e,17/02/2021,140
Amazonas,Parintins,P. A. Gleba Vila Amazônia,13/04/2021,11
Amazonas,Santa Isabel do Rio Negro,T. I. Médio Rio Negro II/Com. Arurá,22/04/2021,162
Bahia,Andaraí,Comunidade Nova Aliança,09/10/2021,23
Bahia,Andaraí,P. A. Rio Utinga,09/10/2021,68
Bahia,Andaraí,Comunidade Pau de Colher,09/10/2021,50
Bahia,Andorinha,Açude Itê/Mineradora Ferbasa,22/12/2021,52
Bahia,Boninal,Com. Quilombola Vazante/Barragemde Baraúnas,19/01/2021,150
Bahia,Caetité,PCeodmr.a  Odlhe oF edr'r oÁ/gBuaam dinos Pires/Projeto,17/09/2021,7
Bahia,Caetité,PBoavm. iBnarreiro/Projeto Pedra de Ferro/,17/09/2021,33
Bahia,Caetité,Com. Serragem/Fiol,17/09/2021,120
Bahia,Caetité,FCeorrmo./ BAaramtiicnum/Projeto Pedra de,17/09/2021,18
Bahia,Caetité,Com. João Barroca/Bamin/BML,17/09/2021,160
Bahia,Caetité,Com. Curral Velho,17/09/2021,80
Bahia,Caetité,FCeorrmo./ BCaasmai nda Roda/Projeto Pedra de,17/09/2021,18
Bahia,Caetité,CBaommi. nFlores/Projeto Pedra de Ferro/,17/09/2021,21
Bahia,Caetité,Cdoe mF.e rRroa/nBcahmo indo Meio/Projeto Pedra,17/09/2021,9
Bahia,Cairu,Com. Cova da Onça/São Sebastião/Ilha de Boipeba/Vazamento de Óleo,14/09/2021,190
Bahia,Cairu,Com. de Garapuá/Ilha de Tinharém,27/07/2021,300
Bahia,Camamu,T. I. Fazenda Bahiana,21/09/2021,32
Bahia,Correntina,"Fecho de Pasto da Vereda da
Felicidade/Com. Silvânia/SãoFrancisco/Cobra Verde/Cerco/Faz.Sta. Tereza",12/02/2021,40
Bahia,Correntina,Com. Buriti,13/12/2021,
Bahia,Correntina,Fecho de Pasto de Cupim/Com.Barreiro/Caatinga do Meio/ManoelMendes/Brejinho/Baraúna/SãoFrancisco/Cobra Verde/Dona Bárbara/Faz. Bandeirante,13/12/2021,
Bahia,Érico Cardoso,Com. Quilombola Paramirim dasCreoulas,20/05/2021,
Bahia,Ilhéus,RSeulg. de Aritaguá/Complexo do Porto,13/07/2021,80
Bahia,Ipirá,BCaommi. nQuilombola Antas e Palmitos/,17/09/2021,15
Bahia,Iraquara,Com. Quilombola Riacho do Mel,18/09/2021,180
Bahia,Jaborandi,FCoormmuonsiodades ao Longo do Rio,22/02/2021,1281
Bahia,Jacobina,Com. de Canavieira/Itapicuru/Jabuticaba,19/02/2021,86
Bahia,Lajedinho,P. A. Nova Vida,19/10/2021,40
Bahia,Lajedinho,P. A. Biabas,19/10/2021,44
Bahia,Lençóis,P. A. Bela Flor,09/10/2021,25
Bahia,Lençóis,Povoado São José,09/10/2021,70
Bahia,Lençóis,P. A. Jaboticabal,09/10/2021,20
Bahia,Lençóis,P. A. Padre Cícero,09/10/2021,25
Bahia,Lençóis,Comunidade Estado,09/10/2021,48
Bahia,Lençóis,P. A. Jaraguá,09/10/2021,30
Bahia,Licínio de Almeida,Com. Taquaril dos Fialhos,17/07/2021,32
Bahia,Nordestina,Com. Quilombola Fumaça,15/09/2021,43
Bahia,Piatã,Com. Quilombola do Mocó e Bocaína,09/09/2021,150
Bahia,Pindaí,Cdoe mF.e rProo/çBoa Cmoinmprido/Projeto Pedra,17/09/2021,27
Bahia,Pindaí,FCeorrmo./ BPaaum iFnerro/Projeto Pedra de,17/09/2021,10
Bahia,Pindaí,PCeodmr.a  Cdaec hFoeerriro/a Bdaem iCnima/Projeto,17/09/2021,17
Bahia,Pindaí,BCaommi. nVargem/Projeto Pedra de Ferro/,17/09/2021,30
Bahia,Pindaí,FCeorrmo./ BBaarmriinguda/Projeto Pedra de,17/09/2021,33
Bahia,Pindaí,FCeorrmo./ BPaagmai nTempo/Projeto Pedra de,17/09/2021,50
