Estado,Município(s),Nome do Conflito,Data,Tdreanbú. nncaia,Resgatados,Menores,Tipo de Trabalho
Acre,Manoel Urbano,FUarzbeanndoa no município de Manoel,27/07/2022,47,27,,Desmatamento
Acre,Rio Branco,FBarzaenncdoa de criação de gado em Rio,31/12/2022,2,,,Criação de Gado
Bahia,Barra do Choça,Fazenda Gaviãozinho,20/07/2022,24,24,,Colheita de Café
Bahia,Buritirama,Povoado de Jatobá,20/06/2022,1,1,,Criação Bovina
Bahia,Camacan,Fazenda Três Irmãs,20/06/2022,3,1,,beneficiamento de café
Bahia,Itabela,Faz. Fazendinha,31/12/2022,6,6,,Beneficiamento do Café
Bahia,João Dourado,Fazenda Mourrinhos,31/12/2022,3,3,,"Preparação e Fiação de
Fibras com Texturas
Naturais"
Bahia,Santa Luzia,Fazenda Bahiana 1/Campo de Jacó/Projeto Alasca,08/02/2022,11,11,,"coleta de produtos não-madeireiros em
florestas nativas"
Bahia,Santa Luzia,Fazenda Bahiana 2/Campo de Jacó/Projeto Alasca,08/02/2022,4,4,,"coleta de produtos não-madeireiros em
florestas nativas"
Bahia,Santa Luzia,FParozjeentdo aA lBaashciaana 3/Campo de Jacó/,08/02/2022,1,1,,criação bovina
Bahia,Simões Filho,Fazenda Limeira,02/08/2022,9,9,,cproiracçiãnoa bovina e
Ceara,Beberibe,Fazenda Pimenteriras,08/09/2022,22,22,,Lavoura de Caju
Ceara,Fortim,Estabelecimento em Fortim,21/07/2022,1,1,,Carcinicultura
Distrito Federal,Brasília,FSaezb. aBstairãroa da Cachoeirinha - São,29/05/2022,3,2,,carregamento eucalipto
Distrito Federal,Brasília,Chácara 45 em Sobradinho,07/12/2022,6,6,0,Hortifrutigranjeiro
Espirito Santo,Afonso Cláudio,DMiastcruitcoo de Piracema/Córrego do,12/07/2022,10,10,,Colheita de café
Espirito Santo,Jaguaré,Fazenda de Cacau,22/07/2022,6,6,,Cultivo de cacau
Espirito Santo,Jaguaré,Fazenda de Café,12/07/2022,2,2,,Colheita de café
Goias,Cristalina,Área da Carvoaria A&B,07/03/2022,17,17,0,Carvoaria
Goias,Cristalina,Carvoaria São Miguel,26/03/2022,6,6,,PVreogdetuaçlão de Carvão
Goias,Goiandira,Fazenda São Geraldo,18/03/2022,4,3,0,Carvoaria
Goias,Montes Claros de Goiás,Fazenda Mata Grande,19/05/2022,9,7,,Lavoura da Soja
Goias,Nazário,Fazenda Arrozal,23/07/2022,40,40,1,Lavoura de Soja
Goias,Quirinópolis,Fazenda São Francisco/Vovó Linda,25/03/2022,36,13,0,Cana-de-açucar
Goias,Quirinópolis,Fazenda São Francisco/Vovó Linda,22/09/2022,36,13,,LAaçvuocaurra de Cana de
Goias,Rio Verde,FRaizo eDnodcae Marcela/Fazenda Paraíso do,26/07/2022,6,6,,Extração de Madeira
Goias,Santa Bárbara de Goiás,Fazenda do Advaldo,23/07/2022,37,37,1,None
Goias,Santa Cruz de Goiás,Fazenda São João,22/03/2022,16,16,,Lavoura Cebola
Goias,Santo Antônio do Descoberto,Fazenda de Eucalipto,17/05/2022,10,10,0,corte eucalipto e carvão
Goias,São Simão,Zona Rural em São Simão,11/05/2022,52,51,,None
Goias,Serranópolis,Zona Rural de Serranópolis,11/05/2022,23,23,,None
Goias,Sítio d'Abadia,Fazenda Aruana,01/09/2022,4,4,,Carvoaria
Goias,Trindade,Fazenda de Eucalipto,23/08/2022,12,12,,None
Maranhao,Arame,Fazenda Santa Terezinha,15/08/2022,4,3,,pAaprliac aa çPãeoc udeá riVaeneno
Maranhao,Balsas,Carvoaria em Balsas,12/03/2022,3,3,,Carvoaria
Maranhao,Buriti Bravo,Fazenda Mata Escura,27/07/2022,1,1,,Carvoaria
Maranhao,Caxias,Fazenda São Bernardo,12/03/2022,17,12,,"extração de madeira
em floresta plantada de
eucalipto"
Maranhao,Cidelândia,Fazenda São Sebastião,15/02/2022,4,4,0,pAapslitcoação de veneno no
Maranhao,Colinas,Fazenda Ceres,27/07/2022,2,2,,
Maranhao,Estreito,FAamzearnedlaa Baixão/Povoado Água,27/07/2022,1,1,,Carvoaria
Maranhao,Grajaú,Fazenda Bacuri Chora I,27/07/2022,1,1,,Carvoaria
Maranhao,Imperatriz,Fazenda Canãa,15/05/2022,1,1,,Criação de Bovinos
Maranhao,Mirador,Fazenda Cachimbo,15/05/2022,1,1,,Armazém
Maranhao,Mirador,Fazenda Boi Morto,05/07/2022,23,23,3,Cultivo de grãos
Maranhao,Montes Altos,"Fazenda Santa Antônio/
Assentamento Cachorro Grande/
Povoado Rancharia",15/02/2022,4,4,0,Pecuária
