"Ano","Geocodigo","Valor","Tipo"
"1987",4207205,1,"embargos_desmatamento"
"1988",5100805,1,"embargos_desmatamento"
"1988",5107776,1,"embargos_desmatamento"
"1990",2402600,1,"embargos_desmatamento"
"1991",1506187,1,"embargos_desmatamento"
"1991",2923506,1,"embargos_desmatamento"
"1991",4115408,1,"embargos_desmatamento"
"1992",2706448,1,"embargos_desmatamento"
"1992",3303302,1,"embargos_desmatamento"
"1992",4314902,1,"embargos_desmatamento"
"1993",2703809,1,"embargos_desmatamento"
"1993",4208906,1,"embargos_desmatamento"
"1994",3301009,3,"embargos_desmatamento"
"1994",3301850,1,"embargos_desmatamento"
"1994",3303906,1,"embargos_desmatamento"
"1994",3304904,1,"embargos_desmatamento"
"1994",4323804,1,"embargos_desmatamento"
"1994",5209705,1,"embargos_desmatamento"
"1995",1100304,1,"embargos_desmatamento"
"1995",2800308,1,"embargos_desmatamento"
"1995",2928703,1,"embargos_desmatamento"
"1995",2932507,1,"embargos_desmatamento"
"1995",3100104,4,"embargos_desmatamento"
"1995",3140001,3,"embargos_desmatamento"
"1995",3144706,1,"embargos_desmatamento"
"1995",3200300,1,"embargos_desmatamento"
"1995",3202256,1,"embargos_desmatamento"
"1995",3202405,2,"embargos_desmatamento"
"1995",3205200,1,"embargos_desmatamento"
"1995",3303906,1,"embargos_desmatamento"
"1995",4205407,1,"embargos_desmatamento"
"1995",5107909,1,"embargos_desmatamento"
"1995",5219753,2,"embargos_desmatamento"
"1996",1100304,1,"embargos_desmatamento"
"1996",2310852,1,"embargos_desmatamento"
"1996",2800605,1,"embargos_desmatamento"
"1996",2803302,1,"embargos_desmatamento"
"1996",2909307,1,"embargos_desmatamento"
"1996",3200136,1,"embargos_desmatamento"
"1996",3201704,1,"embargos_desmatamento"
"1996",3203056,1,"embargos_desmatamento"
"1996",3203205,1,"embargos_desmatamento"
"1996",3205101,1,"embargos_desmatamento"
"1996",3205176,1,"embargos_desmatamento"
"1996",3301306,1,"embargos_desmatamento"
"1996",4209102,1,"embargos_desmatamento"
"1996",4322400,1,"embargos_desmatamento"
"1996",5103007,2,"embargos_desmatamento"
"1996",5104104,1,"embargos_desmatamento"
"1996",5106299,1,"embargos_desmatamento"
"1996",5219753,1,"embargos_desmatamento"
"1997",1503754,1,"embargos_desmatamento"
"1997",1505031,2,"embargos_desmatamento"
"1997",1506500,1,"embargos_desmatamento"
"1997",2304400,1,"embargos_desmatamento"
"1997",2310852,1,"embargos_desmatamento"
