"CD_MUN","agua_2021","agua_2022","terra_2021","terra_2022","violencia_2021","violencia_2022","trabalhoescravo_2021","trabalhoescravo_2022"
1100015,0,1,1,3,0,2,0,0
1100205,0,1,10,7,4,3,0,23
1101468,0,2,1,1,NA,NA,0,0
1300201,0,1,1,1,0,6,0,0
1300300,0,1,4,4,NA,NA,0,0
1301704,0,2,2,2,1,0,0,0
1301902,1,0,2,5,0,6,0,0
1302702,0,1,1,4,0,3,0,0
1303106,1,0,1,1,NA,NA,0,0
1303403,1,0,1,1,NA,NA,0,0
1303536,0,1,1,14,0,1,0,0
1303601,1,1,0,1,NA,NA,0,0
1304104,0,12,4,3,NA,NA,0,0
1400308,1,1,2,2,8,16,0,0
1500206,0,4,3,2,0,2,0,0
1500602,6,3,10,10,0,1,0,0
1500859,1,1,5,2,2,0,0,20
1501303,8,0,1,0,NA,NA,0,0
1501725,1,1,1,0,NA,NA,0,0
1501907,0,1,NA,NA,NA,NA,0,0
1502756,1,10,NA,NA,NA,NA,0,0
1503606,0,2,5,3,2,0,0,0
1503705,1,0,0,1,NA,NA,58,0
1503754,0,3,2,1,4,1,0,0
1504208,2,0,4,2,0,4,0,0
1506807,7,5,14,8,0,1,0,0
1507300,1,1,4,10,0,5,4,0
1507805,1,2,3,2,NA,NA,0,0
1508001,1,2,1,1,0,3,0,0
1508357,1,0,1,0,NA,NA,0,0
1600154,0,1,1,0,NA,NA,0,0
1600303,0,1,10,12,NA,NA,0,0
1600550,0,1,0,3,0,2,0,0
1711902,0,1,2,2,0,1,0,0
1718204,1,0,3,1,NA,NA,0,0
2102606,3,2,NA,NA,2,0,0,0
2104305,5,5,NA,NA,NA,NA,0,0
2106672,1,0,1,0,NA,NA,0,0
2106706,0,2,0,38,NA,NA,11,11
2108801,1,0,1,1,NA,NA,0,0
2109452,0,1,NA,NA,NA,NA,0,0
2200509,1,0,0,1,NA,NA,0,6
2202083,2,1,0,1,NA,NA,0,0
2209807,3,0,NA,NA,NA,NA,0,0
2210607,1,0,2,0,NA,NA,0,0
2408102,0,1,1,0,NA,NA,0,1
2409506,0,1,0,1,NA,NA,0,0
