system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,mapbiomas_alerts_2021,mapbiomas_alerts_2022,.geo
00000000000000000007,1811.613,1200013,Acrelândia,AC,2124.1816647805144,2066.5510684690935,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,4979.073,1200054,Assis Brasil,AC,1265.1721035115359,1059.4269049370964,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,3928.174,1200104,Brasiléia,AC,4013.7504747499006,3917.8544771320653,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,3034.869,1200138,Bujari,AC,2358.8910805392043,3135.4295029045466,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,1705.824,1200179,Capixaba,AC,1953.1225729837577,2045.8823962184174,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,8783.47,1200203,Cruzeiro do Sul,AC,3393.825551992434,3809.791375317184,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,1652.674,1200252,Epitaciolândia,AC,764.6757424134986,1105.977352397437,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,27976.874,1200302,Feijó,AC,13488.7081132429,17223.279712267835,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,5357.227,1200328,Jordão,AC,1023.0928662773083,1242.0094483791167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,5451.617,1200336,Mâncio Lima,AC,1085.755371660872,1394.4443605713382,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,10630.6,1200344,Manoel Urbano,AC,5378.7412055872755,7426.07272890962,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,8190.953,1200351,Marechal Thaumaturgo,AC,873.1362492183662,871.2561734098322,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,1952.555,1200385,Plácido de Castro,AC,935.8390065582628,895.39316910987,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6446.385,1200393,Porto Walter,AC,727.2013719289507,887.1547727036191,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,8835.154,1200401,Rio Branco,AC,7745.0061867354425,12515.613400092792,"{""type"":""MultiPoint"",""coordinates"":[]}"
