system:index,label,sum,.geo
0,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,32,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
