system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,mapbiomas_deforestation_2021,mapbiomas_deforestation_2022,.geo
00000000000000000007,1811.613,1200013,Acrelândia,AC,1798.3618613004355,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,4979.073,1200054,Assis Brasil,AC,1694.8834336998355,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,3928.174,1200104,Brasiléia,AC,5046.654708294823,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,3034.869,1200138,Bujari,AC,3604.8865628761423,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,1705.824,1200179,Capixaba,AC,2673.6506255863665,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,8783.47,1200203,Cruzeiro do Sul,AC,5266.79311192098,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,1652.674,1200252,Epitaciolândia,AC,1309.2000316449323,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,27976.874,1200302,Feijó,AC,17167.05285334336,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,5357.227,1200328,Jordão,AC,1645.5824858818266,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,5451.617,1200336,Mâncio Lima,AC,1730.1178861076353,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,10630.6,1200344,Manoel Urbano,AC,6840.963882689497,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,8190.953,1200351,Marechal Thaumaturgo,AC,2199.2433936486455,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,1952.555,1200385,Plácido de Castro,AC,630.1152299354954,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6446.385,1200393,Porto Walter,AC,1516.3012834511896,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,8835.154,1200401,Rio Branco,AC,11249.528458169423,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,3076.342,1200427,Rodrigues Alves,AC,1907.863955181247,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,6155.858,1200435,Santa Rosa do Purus,AC,620.6530781346913,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,2320.169,1200450,Senador Guiomard,AC,1162.5974367047736,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,23759.512,1200500,Sena Madureira,AC,13256.006530546134,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,20169.485,1200609,Tarauacá,AC,10433.353439387696,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,5350.586,1200708,Xapuri,AC,6109.96434807337,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,2604.417,1200807,Porto Acre,AC,2987.6022421553175,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e3,468.229,2700102,Água Branca,AL,2.6478978454589845,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e4,186.134,2700201,Anadia,AL,5.907457061767581,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e5,345.655,2700300,Arapiraca,AL,0.7051576782226563,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
