"CD_MUN","freq"
"1100015",1
"1100023",3
"1100031",1
"1100049",1
"1100064",1
"1100080",8
"1100098",2
"1100114",2
"1100122",2
"1100130",3
"1100205",208
"1100288",2
"1100304",4
"1100320",1
"1100338",2
"1100346",24
"1100379",1
"1100403",1
"1100452",3
"1100809",99
"1100908",2
"1100924",1
"1100940",17
"1101401",7
"1101435",2
"1101492",6
"1101500",4
"1200013",4
"1200054",3
"1200104",6
"1200138",4
"1200179",26
"1200203",17
"1200252",1
"1200336",6
"1200344",26
"1200351",5
"1200385",2
"1200401",17
"1200427",3
"1200450",6
"1200500",19
"1200609",6
"1200708",40
"1200807",21
"1300144",351
"1300706",17
"1300805",3
"1300904",83
"1301407",1
"1301605",2
"1301704",258
"1302405",144
"1302603",32
"1302702",11
"1302900",26
"1303304",44
"1303403",1
"1303569",1
"1303601",2
"1304104",4
"1400027",16
"1400050",5
"1400100",6
"1400159",10
"1400175",13
"1400209",9
"1400233",1
"1400282",10
"1400308",11
"1400472",33
"1400506",1
"1500131",1
"1500305",1
"1500503",10
"1500602",67
"1500859",26
"1501006",21
"1501253",1
"1501451",1
"1501600",3
"1501725",10
"1502152",3
"1502301",4
"1503093",2
"1503309",1
"1503507",13
"1503606",31
"1503754",5
"1503804",1
"1504208",3
"1504455",46
"1504703",1
"1504752",7
"1505031",28
"1505064",5
"1505205",1
"1505437",2
"1505486",55
"1505494",1
"1505502",4
"1505536",7
"1505650",19
"1505809",79
"1505908",7
"1506005",7
"1506187",12
"1506195",38
"1506203",2
"1506708",3
"1506807",10
"1507300",298
"1507508",1
"1507805",55
"1507953",1
"1508001",1
"1508050",42
"1508100",2
"1508159",31
"1508357",4
"1600105",3
"1600204",8
"1600238",2
"1600279",9
"1600303",9
"1600402",11
"1600501",3
"1600535",4
"1600550",1
"1600600",1
"1600709",7
"1600808",1
"1700251",11
"1701903",9
"1703842",6
"1703909",5
"1704600",1
"1705607",1
"1707108",1
"1707207",25
"1707652",1
"1709005",18
"1710508",1
"1711100",1
"1711902",1
"1712504",10
"1712702",1
"1717503",1
"1717909",1
"1718204",1
"1718907",11
"1720655",3
"1721000",9
"2100600",2
"2101400",1
"2101608",10
"2102036",1
"2102101",1
"2104057",3
"2104800",3
"2105427",1
"2108256",2
"2109007",1
"2109809",2
"2110005",1
"2110856",1
"2111052",11
"2111300",1
"2111607",1
"2111805",1
"2200202",4
"2201150",1
"2201903",1
"2202653",2
"2205706",1
"2206308",1
"2206696",1
"2209807",1
"2209872",1
"2211001",2
"2300200",3
"2301109",2
"2301307",1
"2301604",1
"2302057",1
"2302206",1
"2302602",7
"2303006",1
"2303303",1
"2303501",2
"2303709",61
"2303808",1
"2304251",1
"2304285",1
"2304459",1
"2304707",2
"2305001",1
"2305308",2
"2305357",1
"2305506",2
"2306009",10
"2306405",2
"2306553",8
"2307254",5
"2307650",2
"2307809",1
"2307908",1
"2308005",1
"2308203",1
"2309300",1
"2309706",17
"2310258",1
"2310704",1
"2310902",2
"2311355",1
"2311405",3
"2311959",1
"2312403",1
"2313252",1
"2313401",1
"2313500",2
"2314102",6
"2400208",41
"2400505",1
"2401701",1
"2402006",2
"2403251",1
"2404853",1
"2405801",1
"2406502",1
"2408003",2
"2408102",3
"2408300",1
"2408508",1
"2408953",1
"2409209",1
"2409308",1
"2410009",2
"2411205",1
"2412005",1
"2413706",1
"2414704",2
"2414902",1
"2500106",4
"2500205",1
"2500304",1
"2500775",2
"2501104",3
"2501351",5
"2501401",32
"2501708",1
"2502151",6
"2502201",1
"2502508",3
"2503308",1
"2503704",6
"2504009",1
"2504033",1
"2504207",2
"2504306",1
"2504405",1
"2504504",1
"2504603",4
"2504801",1
"2505907",2
"2506301",1
"2506707",1
"2506905",5
"2507507",3
"2507804",4
"2508000",1
"2508109",1
"2508802",1
"2509057",4
"2509156",1
"2509206",1
"2509701",5
"2510709",1
"2510808",2
"2511103",1
"2511202",2
"2511301",1
"2511608",2
"2511905",2
"2512309",2
"2512804",1
"2512903",1
"2513158",3
"2513208",1
"2513307",2
"2513406",1
"2513604",1
"2513927",1
"2514404",2
"2516003",1
"2516201",6
"2516300",1
"2516508",2
"2516904",2
"2517100",2
"2600104",2
"2600401",3
"2600906",1
"2601201",1
"2602001",6
"2602308",3
"2602803",1
"2604304",1
"2604601",1
"2604809",1
"2605707",2
"2606309",2
"2607208",3
"2607406",1
"2608750",1
"2609907",3
"2610004",1
"2610400",1
"2611606",3
"2612208",1
"2612455",1
"2613404",1
"2613602",1
"2614600",1
"2615607",1
"2616407",1
"2616506",2
"2700102",4
"2700607",1
"2702405",17
"2704302",1
"2704708",3
"2705002",9
"2705804",16
"2706109",1
"2706307",1
"2706422",1
"2706448",1
"2706703",2
"2706802",1
"2707107",7
"2707404",1
"2707701",1
"2708006",1
"2708956",1
"2709400",1
"2800308",1
"2800704",1
"2802007",1
"2802106",3
"2802403",2
"2802809",9
"2802908",5
"2803203",2
"2803500",1
"2804201",2
"2804409",6
"2804607",1
"2804904",17
"2805208",6
"2805604",1
"2806008",1
"2806305",2
"2806404",1
"2806701",2
"2807402",2
"2807501",1
"2807600",1
"2900207",1
"2902708",3
"2904050",3
"2906303",1
"2906709",5
"2907707",1
"2908606",4
"2910404",8
"2911105",1
"2911808",2
"2913457",2
"2916302",1
"2917300",2
"2917359",1
"2918100",9
"2920452",1
"2922102",1
"2922250",2
"2923001",1
"2924009",2
"2925501",3
"2927309",1
"2927507",1
"2927606",2
"2928059",1
"2928109",6
"2928208",1
"2928406",15
"2931202",2
"2933307",3
"3100401",1
"3100500",1
"3100609",1
"3101003",1
"3101201",2
"3101508",1
"3101805",1
"3102308",1
"3102852",2
"3103108",1
"3103504",3
"3105509",1
