system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,sum,.geo
00000000000000000007,1811.613,1200013,Acrelândia,AC,127445.02663769861,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,4979.073,1200054,Assis Brasil,AC,445456.60746406246,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,3928.174,1200104,Brasiléia,AC,293162.10009106435,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,3034.869,1200138,Bujari,AC,71136.35200246863,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,1705.824,1200179,Capixaba,AC,58277.50994745529,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,8783.47,1200203,Cruzeiro do Sul,AC,436148.70303624356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,1652.674,1200252,Epitaciolândia,AC,71557.37390533938,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,27976.874,1200302,Feijó,AC,1005117.4367128938,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,5357.227,1200328,Jordão,AC,305989.0285829244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,5451.617,1200336,Mâncio Lima,AC,416080.20089765993,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,10630.6,1200344,Manoel Urbano,AC,626264.359132704,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,8190.953,1200351,Marechal Thaumaturgo,AC,757362.669019777,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,1952.555,1200385,Plácido de Castro,AC,122143.18883572237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6446.385,1200393,Porto Walter,AC,447745.49110468454,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,8835.154,1200401,Rio Branco,AC,271421.3161536,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,3076.342,1200427,Rodrigues Alves,AC,207167.37414333696,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,6155.858,1200435,Santa Rosa do Purus,AC,415744.9483293856,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,2320.169,1200450,Senador Guiomard,AC,152631.423942806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,23759.512,1200500,Sena Madureira,AC,1466126.5832396932,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,20169.485,1200609,Tarauacá,AC,1040473.6815747442,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,5350.586,1200708,Xapuri,AC,346727.6474690777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,2604.417,1200807,Porto Acre,AC,119617.37910937003,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e3,468.229,2700102,Água Branca,AL,3591.1402480085785,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e4,186.134,2700201,Anadia,AL,159.65027037963932,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e5,345.655,2700300,Arapiraca,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e6,533.258,2700409,Atalaia,AL,4177.179956291561,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e7,131.364,2700508,Barra de Santo Antônio,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
